         2100186 function calls (2097893 primitive calls) in 1.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1206    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      456    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 re.py:233(findall)
       26    0.000    0.000    0.000    0.000 core.py:6801(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       92    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       26    0.000    0.000    0.000    0.000 core.py:6806(getdoc)
      246    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
       30    0.000    0.000    0.000    0.000 enum.py:977(__and__)
      322    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      338    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 numeric.py:2531(extend_all)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       55    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      922    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      939    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       14    0.000    0.000    0.000    0.000 re.py:223(split)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       52    0.000    0.000    0.000    0.000 core.py:887(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
      284    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
      339    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       62    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       14    0.000    0.000    0.000    0.000 core.py:8149(__init__)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
       17    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       67    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       70    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
